MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     26328.55,     26333.70,     26373.20,     26210.05,     26250.30,1046024548588.11,5387858469,Y, ,33595563,     26373.20,     21743.65
Y, , ,NIFTY50 EQL Wgt,     33676.25,     33682.15,     33815.65,     33608.70,     33705.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 EQL Wgt,     34398.05,     34428.45,     34522.80,     34330.45,     34426.25,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 LowVol30,     21217.90,     21208.15,     21316.40,     21175.55,     21249.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY Alpha 50,     50660.80,     50790.25,     50992.20,     50573.15,     50820.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY MIDCAP 150,     22579.05,     22635.80,     22648.45,     22460.35,     22555.45,0.00,0,Y, ,0,     22648.45,     17269.50
Y, , ,NIFTY SMLCAP 50,      8656.75,      8679.40,      8728.55,      8655.25,      8696.30,0.00,0,Y, ,0,      9282.70,      6776.05
Y, , ,NIFTY SMLCAP 250,     16795.75,     16832.40,     16889.05,     16770.60,     16843.35,0.00,0,Y, ,0,     18077.35,     13314.70
Y, , ,NIFTY MIDSML 400,     20443.85,     20492.90,     20518.45,     20371.65,     20449.55,0.00,0,Y, ,0,     20668.15,     15832.85
Y, , ,NIFTY200 QUALTY30,     21482.20,     21498.85,     21576.15,     21422.50,     21508.20,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty FinSrv25 50,     30575.90,     30607.45,     30654.60,     30438.30,     30536.85,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY AlphaLowVol,     27231.20,     27241.30,     27444.50,     27223.05,     27360.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200Momentm30,     31619.90,     31695.45,     31854.05,     31589.70,     31719.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100ESGSecLdr,      4413.10,      4412.25,      4416.45,      4390.85,      4399.45,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 ESG,      5253.60,      5253.35,      5258.55,      5230.90,      5242.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY M150 QLTY50,     24222.10,     24277.55,     24283.65,     24137.80,     24190.90,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY INDIA MFG,     15623.35,     15648.30,     15737.20,     15623.90,     15669.80,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200 Alpha 30,     25359.50,     25439.65,     25595.50,     25376.95,     25499.85,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftyM150Momntm50,     62735.75,     62951.85,     63011.75,     62449.10,     62737.05,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty50 USD,     10114.15,     10114.15,     10127.30,      9815.25,     10073.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty IT,     38320.30,     38222.00,     38260.85,     37365.90,     37771.15,0.00,0,Y, ,0,     44798.65,     30918.95
Y, , ,Nifty Next 50,     70416.90,     70528.05,     70611.85,     70129.35,     70413.40,0.00,0,Y, ,0,     70611.85,     56192.45
Y, , ,Nifty Bank,     60150.95,     60360.40,     60437.35,     59859.80,     60044.20,0.00,0,Y, ,0,     60437.35,     47702.90
Y, , ,NIFTY MIDCAP 100,     61365.90,     61516.40,     61520.60,     60970.55,     61265.70,0.00,0,Y, ,0,     61520.60,     46865.70
Y, , ,Nifty 500,     24099.00,     24123.10,     24144.20,     23999.15,     24058.45,0.00,0,Y, ,0,     24144.20,     19519.85
Y, , ,Nifty 100,     26925.30,     26936.65,     26975.15,     26806.25,     26858.15,0.00,0,Y, ,0,     26975.15,     22177.35
Y, , ,Nifty Midcap 50,     17505.70,     17554.70,     17555.95,     17395.05,     17482.30,0.00,0,Y, ,0,     17555.95,     13269.65
Y, , ,Nifty Realty,       898.80,       902.65,       919.70,       898.00,       917.40,0.00,0,Y, ,0,      1049.70,       765.80
Y, , ,Nifty Infra,      9765.75,      9771.00,      9792.60,      9702.40,      9726.65,0.00,0,Y, ,0,      9792.60,      7589.95
Y, , ,Nifty Energy,     36275.65,     36392.95,     36464.50,     35923.55,     36050.05,0.00,0,Y, ,0,     36938.90,     29313.20
Y, , ,Nifty FMCG,     53078.80,     53054.95,     53573.75,     52885.60,     53441.10,0.00,0,Y, ,0,     59302.55,     50199.35
Y, , ,Nifty MNC,     30875.15,     30903.35,     31108.70,     30875.05,     30973.90,0.00,0,Y, ,0,     31108.70,     23981.05
Y, , ,Nifty Pharma,     22790.90,     22810.45,     22930.70,     22706.05,     22743.40,0.00,0,Y, ,0,     23162.45,     19121.10
Y, , ,Nifty PSE,     10130.05,     10156.15,     10212.45,     10083.40,     10129.35,0.00,0,Y, ,0,     10225.55,      7956.45
Y, , ,Nifty PSU Bank,      8699.90,      8744.15,      8843.25,      8683.15,      8739.80,0.00,0,Y, ,0,      8843.25,      5530.35
Y, , ,Nifty Serv Sector,     34044.95,     34029.45,     34078.35,     33751.55,     33818.65,0.00,0,Y, ,0,     34216.65,     29070.85
Y, , ,Nifty Auto,     28803.65,     28869.65,     29179.10,     28806.95,     28894.15,0.00,0,Y, ,0,     29179.10,     19316.65
Y, , ,Nifty Metal,     11421.85,     11469.85,     11532.10,     11429.25,     11490.80,0.00,0,Y, ,0,     11532.10,      7690.20
Y, , ,Nifty Media,      1462.90,      1470.40,      1482.70,      1467.55,      1472.00,0.00,0,Y, ,0,      1809.75,      1344.40
Y, , ,NIFTY SMLCAP 100,     17832.05,     17882.65,     17984.90,     17836.30,     17926.40,0.00,0,Y, ,0,     19224.95,     14084.30
Y, , ,Nifty 200,     14677.15,     14688.85,     14700.95,     14607.00,     14642.90,0.00,0,Y, ,0,     14700.95,     11941.45
Y, , ,Nifty Div Opps 50,      6416.00,      6420.15,      6429.55,      6363.45,      6385.05,0.00,0,Y, ,0,      6429.55,      5288.60
Y, , ,Nifty Commodities,      9734.65,      9758.50,      9786.80,      9700.75,      9736.80,0.00,0,Y, ,0,      9786.80,      7502.95
Y, , ,Nifty Consumption,     12256.50,     12248.85,     12329.80,     12230.95,     12283.20,0.00,0,Y, ,0,     12716.20,     10090.65
Y, , ,Nifty Fin Service,     27899.15,     27925.20,     27977.80,     27768.10,     27851.45,0.00,0,Y, ,0,     28065.50,     22320.85
Y, , ,Nifty50 Div Point,       249.14,       249.14,       249.14,       249.14,       249.14,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100 Liq 15,      7644.85,      7635.60,      7683.60,      7631.30,      7648.65,0.00,0,Y, ,0,      7683.60,      5985.30
Y, , ,Nifty CPSE,      6590.60,      6615.55,      6645.90,      6577.70,      6602.85,0.00,0,Y, ,0,      6681.80,      5284.25
Y, , ,Nifty GrowSect 15,     12661.00,     12659.70,     12685.60,     12577.10,     12627.25,0.00,0,Y, ,0,     12685.60,      9722.65
Y, , ,Nifty50 PR 2x Lev,     14920.05,     14919.40,     14963.80,     14779.60,     14824.90,0.00,0,Y, ,0,     14993.40,     10678.25
Y, , ,Nifty50 PR 1x Inv,       198.55,       198.60,       199.55,       198.30,       199.25,0.00,0,Y, ,0,       232.40,       197.80
Y, , ,Nifty50 TR 2x Lev,     22325.75,     22324.80,     22391.20,     22115.60,     22183.35,0.00,0,Y, ,0,     22435.45,     15663.75
Y, , ,Nifty50 TR 1x Inv,       162.45,       162.50,       163.25,       162.25,       163.00,0.00,0,Y, ,0,       192.05,       161.80
Y, , ,Nifty50 Value 20,     13304.20,     13310.15,     13327.85,     13245.00,     13293.10,0.00,0,Y, ,0,     13477.90,     11375.50
Y, , ,Nifty Mid Liq 15,     16224.15,     16245.40,     16257.30,     16060.20,     16140.70,0.00,0,Y, ,0,     16755.80,     11541.70
Y, , ,Nifty Pvt Bank,     28902.90,     28976.00,     28990.00,     28794.70,     28886.30,0.00,0,Y, ,0,     28990.00,     23508.05
Y, , ,NIFTY100 Qualty30,      5880.85,      5878.45,      5919.30,      5861.65,      5902.70,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 8 13Yr,      2968.46,      2969.00,      2969.00,      2961.12,      2965.18,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 10Yr,      2613.22,      2613.68,      2613.69,      2605.49,      2607.82,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 10Yr Cln,       891.26,       891.26,       891.26,       888.42,       889.23,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 4 8Yr,      3222.92,      3223.50,      3223.50,      3218.42,      3219.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 11 15Yr,      3241.89,      3242.50,      3242.50,      3228.52,      3230.84,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS 15YrPlus,      3492.37,      3493.06,      3493.06,      3478.24,      3479.11,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty GS Compsite,      3053.78,      3054.34,      3054.35,      3046.22,      3047.81,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY HEALTHCARE,     14725.65,     14736.05,     14789.90,     14656.00,     14679.00,0.00,0,Y, ,0,     15112.50,      6482.80
Y, , ,NIFTY CONSR DURBL,     37239.40,     37263.95,     37839.30,     37199.05,     37654.75,0.00,0,Y, ,0,     44426.55,     14089.55
Y, , ,NIFTY OIL AND GAS,     12340.05,     12374.30,     12445.70,     12175.85,     12214.55,0.00,0,Y, ,0,     13607.20,      4632.70
Y, , ,NIFTY500 MULTICAP,     16641.30,     16664.40,     16681.75,     16582.15,     16628.00,0.00,0,Y, ,0,     17112.15,      5531.55
Y, , ,NIFTY LARGEMID250,     17043.75,     17068.80,     17077.75,     16961.70,     17013.65,0.00,0,Y, ,0,     17095.20,      5635.20
Y, , ,NIFTY MID SELECT,     13984.00,     14015.10,     14037.50,     13884.80,     13968.00,0.00,0,Y, ,0,     14118.40,      5520.25
Y, , ,NIFTY TOTAL MKT,     13522.30,     13536.90,     13548.00,     13467.50,     13501.70,0.00,0,Y, ,0,     13842.60,      6252.10
Y, , ,NIFTY MICROCAP250,     22799.85,     22871.45,     22925.40,     22724.00,     22860.30,0.00,0,Y, ,0,     26476.90,      5802.95
Y, , ,NIFTY IND DIGITAL,      9521.00,      9506.60,      9525.25,      9397.30,      9429.45,0.00,0,Y, ,0,     10152.15,      4755.25
Y, , ,Nifty Tata 25 Cap,     15492.10,     15473.45,     15579.40,     15424.25,     15536.40,0.00,0,Y, ,0,     18764.95,      9887.45
Y, , ,Nifty MidSml Hlth,     44239.15,     44332.30,     44446.65,     44018.05,     44127.20,0.00,0,Y, ,0,     46103.35,     20019.15
Y, , ,Nifty Multi Mfg,     16192.40,     16224.40,     16323.15,     16188.15,     16224.40,0.00,0,Y, ,0,     16323.15,      8394.35
Y, , ,Nifty Multi Infra,     14730.40,     14748.45,     14783.80,     14631.75,     14674.35,0.00,0,Y, ,0,     15154.10,      8010.10
Y, , ,BHARATBOND-APR30,      1566.58,      1566.89,      1566.89,      1566.64,      1566.64,0.00,0,Y, ,0,         0.00,         0.00
